zone,rel_q,coef,se,p
mona,-8,-0.110155653993774,0.0638921261008853,0.0849676339480186
mona,-7,-0.018330361841442,0.0654706436157217,0.779545779622084
mona,-6,0.14209572651613,0.0634732109107075,0.0253728783233538
mona,-5,-0.227940512650037,0.0649435939518554,0.000466205829806285
mona,-4,-0.251524750761356,0.0641295200880819,0.0000930980909985201
mona,-3,-0.103423813291679,0.0664281650303724,0.119770041580226
mona,-2,0.095430353495761,0.0640170049569662,0.136320754512077
mona,0,-0.298021467837059,0.063614900626638,0.00000314605118322303
mona,1,-0.0968428969804037,0.0686679313090194,0.158726319378251
mona,2,0.131444652066589,0.0633572002821638,0.0382457994741693
mona,3,-0.373295643656886,0.0736214185598194,0.000000463984179293572
mona,4,-0.155197497737164,0.0732678884097122,0.0343760176394142
mona,5,-0.151261670471247,0.0640257489207264,0.0183215739441062
mona,6,0.0732185126556558,0.064107044544817,0.25364430663935
mona,7,-0.05637802911677,0.0895323606422984,0.529022840852663
mona,8,-0.25996806386047,0.0709222634861304,0.000258379203823319
mona,9,0.0764103346289797,0.0638608067371878,0.231749122281326
mona,10,0.187849175519214,0.0732849171624006,0.0104986588217068
mona,11,-0.455382460831476,0.0736533805886739,0.000000000880688057544217
apa,-8,0.0790441351173908,0.0283234053873019,0.00532105087453305
apa,-7,0.18020224214132,0.0318987819184549,0.000000019064603603571
apa,-6,0.331295515627984,0.0273658971658498,0.0000000000000000000000000000000246517902922655
apa,-5,-0.035482624993374,0.0306403270448134,0.247022842153521
apa,-4,-0.00473322638964835,0.0300340208619874,0.874795551260163
apa,-3,0.127750221421998,0.0348546799732519,0.000255235861044372
apa,-2,0.284630142607481,0.0286038243276155,0.000000000000000000000113227446581166
apa,0,-0.140006214909847,0.0338775418417382,0.0000377165018165558
apa,1,0.124105088030565,0.0379698910794246,0.00110421010853489
apa,2,0.387861748611902,0.0305378180220292,0.0000000000000000000000000000000000282660508954373
apa,3,0.026786628515123,0.0379747238302503,0.480676752561111
apa,4,0.106052580115882,0.038433720159872,0.0058577941625871
apa,5,0.246394576833914,0.0366552389711072,0.0000000000249101540290099
apa,6,0.281918941349171,0.0285993848579501,0.000000000000000000000272613170268384
apa,7,0.184412259550605,0.0421040536096137,0.0000126476345420404
apa,8,0.0684746977663297,0.036056650711031,0.0577338455164974
apa,9,0.462841268826629,0.0381085572671536,0.0000000000000000000000000000000159093019308385
apa,10,0.347765216871104,0.0304204289996731,0.0000000000000000000000000000383830921113826
apa,11,-0.0980155282352143,0.0417579346710582,0.0190355224390767
ring_0_10,-8,-0.553302899910753,0.160453359498214,0.000585928040549906
ring_0_10,-7,-0.322253148300847,0.160995154841853,0.0455763795426055
ring_0_10,-6,-0.430653673099949,0.159112007871227,0.00690564332067195
ring_0_10,-5,-0.589949362464416,0.180332732241692,0.00110414306847641
ring_0_10,-4,-0.59553862345423,0.175496815734197,0.000715481985319426
ring_0_10,-3,-0.634560119456577,0.16793151401555,0.000166356299033411
ring_0_10,-2,-0.477319046120425,0.159329740614611,0.00280036603995978
ring_0_10,0,-0.471085611817981,0.137466491521491,0.000633694549724169
ring_0_10,1,-0.709263005643308,0.164424790318265,0.0000175466012129169
ring_0_10,2,-0.440335700778424,0.159904209786894,0.00599152882352391
ring_0_10,3,-0.645325124130437,0.140374943884303,0.00000479355089786192
ring_0_10,4,-0.558086903969853,0.178253292734368,0.0017901765399887
ring_0_10,5,-0.704329961249409,0.160689729816214,0.0000128488699395696
ring_0_10,6,-0.50142807132222,0.159311997618004,0.0016924928851392
ring_0_10,7,-0.790318996740097,0.167710560750117,0.00000277068363800323
ring_0_10,8,-0.55567811352801,0.160154490620543,0.000541922377713597
ring_0_10,9,-0.366424321332504,0.187922907394787,0.0514531008708899
ring_0_10,10,-0.457076519233618,0.162155325920584,0.0049098645777505
ring_0_10,11,-0.48734603109189,0.127969001482868,0.000147871865280612
