zone,hours_pre,hours_pos,n_cells,counterfactual_pos,change_vs_control,pct_vs_control
control,812.984016,1283.21852058824,1031,1283.21852058824,0,0
ring_50_100,326.875064,532.348047058824,207,515.94143032114,16.4066167376833,3.17993783276354
ring_25_50,152.330198,272.963488235294,88,240.438837014568,32.5246512207261,13.5272036849668
ring_10_25,70.525468,98.5371117647059,50,111.317793375599,-12.7806816108935,-11.4812567005977
ring_0_10,25.778038,24.9828676470588,40,40.6881994418293,-15.7053317947704,-38.5992302687758
apa,39.63232,392.260941176471,561,62.5558756838825,329.705065492588,527.056910143353
mona,12.490332,22.9177852941176,91,19.7148099289272,3.20297536519046,16.2465444847672
