placebo_month,beta,se
6,0.193952770094617,0.019721788692811
7,0.0934515375430261,0.0162207253613022
8,0.0200194977877528,0.0156521668944348
9,-0.0629202754159134,0.0142240202240008
10,-0.0588021768011548,0.0136571719839001
11,-0.0671373501369872,0.0142846355367526
12,-0.117322660959791,0.0167208852157402
