zone,sdid,se_placebo,t,sc,did,N1,N0,T0,T1
mona,-0.18475344921476,0.0210776966373133,-8.76535289381175,-0.25154142932494,-0.10994572004311,91,1031,16,12
apa,-0.0969208798811702,0.0106153303094586,-9.13027452332886,-0.0961854781239119,-0.0133806913899927,561,1031,16,12
ring_0_10,-0.0904948522760808,0.0251443500347572,-3.59901338276747,-0.185970897022701,-0.0837130764081298,40,1031,16,12
