zone,sdid,se,t,sc,did,N1
mona,-0.182728151039762,0.0191111458168636,-9.56133937707298,-0.236793557310373,-0.0905978583601885,91
apa,-0.145005588565434,0.0109300933496196,-13.2666377062993,-0.157568851029889,-0.0448878746054572,561
ring_0_10,-0.102287500707898,0.025053666605183,-4.08273576558001,-0.202514695998667,-0.0923501861587921,40
ring_10_25,0.0868567955578636,0.0226861655821058,3.82862389166259,0.0710795389384396,0.0360931445212413,50
