status,hours_obs,n_months,beta,hours_cf,change,change_per_month
open_both,473312.8379,14,0,473312.8379,0,0
new_closed,22497.959,2,-0.352834683170021,32016.752362858,-9518.79336285795,-4759.39668142898
new_open,82727.6262,2,0.891708512456903,33914.5825969519,48813.0436030481,24406.5218015241
closed_both,46187.2348,4,0.184250503410485,38415.1899683529,7772.04483164714,1943.01120791178
mixed_jan,66784.4014,2,0.481435556976506,41265.7964748914,25518.6049251086,12759.3024625543
